county,week,week number,Face Shields (Disposable),Surgical Masks,Cloth Masks,Surgical or Examination Gowns,Examination Gloves,N-95 Respirators,Hand Sanitizers,Wipes,Other / None of the above,Cleaning Supplies,Swabs,Viral Testing Media,Pharmaceuticals,Shoe Covers,Test Kits,KN95 Respirators,Coveralls (Hospitals or EMS),Medical Equipment,Goggles,Lab Supplies,Beds/Cots,Body Bags,Lab Kit,Ventilators,Personnel,Sample Collecting Kits,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Sonoma'],2020-06-10 to 2020-06-16,1,[241888.0],[1741000.0],[1236000.0],[168420.0],[1531700.0],[3114160.0],[69056.0],[7056.0],[1142722.0],[0.0],[284000.0],[156554.0],[518.0],[0.0],[0.0],[79380.0],[97200.0],[0.0],[76300.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[0.0]
['San Joaquin'],2020-06-10 to 2020-06-16,1,[415360.0],[2763090.0],[47500.0],[538184.0],[4123760.0],[1066078.0],[182930.0],[5880.0],[324180.0],[0.0],[319035.0],[226300.0],[1689.0],[2100.0],[67900.0],[176120.0],[30835.0],[0.0],[14700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[36400.0],[0.0],[0.0],[0.0]
['Alameda'],2020-06-10 to 2020-06-16,1,[826660.0],[6333000.0],[608160.0],[411478.0],[3711200.0],[8143920.0],[1046226.0],[0.0],[80490.0],[0.0],[1057600.0],[502502.0],[8176.0],[0.0],[35000.0],[148400.0],[29274.0],[700.0],[91000.0],[305200.0],[0.0],[0.0],[0.0],[70.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Monterey'],2020-06-10 to 2020-06-16,1,[207880.0],[7561536.0],[15500.0],[162890.0],[4777920.0],[1131620.0],[178780.0],[0.0],[110600.0],[0.0],[271000.0],[147810.0],[924.0],[32200.0],[0.0],[235060.0],[58513.0],[0.0],[59500.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Solano'],2020-06-10 to 2020-06-16,1,[219318.0],[476000.0],[24000.0],[312396.0],[1000520.0],[1152880.0],[33100.0],[0.0],[71024.0],[0.0],[213700.0],[35042.0],[1533.0],[0.0],[0.0],[0.0],[33250.0],[0.0],[0.0],[41800.0],[0.0],[0.0],[17500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Francisco'],2020-06-10 to 2020-06-16,1,[1447300.0],[21733000.0],[448000.0],[237852.0],[1540000.0],[10932940.0],[118566.0],[0.0],[74502.0],[6720.0],[315935.0],[297056.0],[3598.0],[0.0],[0.0],[735280.0],[18060.0],[420.0],[85820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[11200.0],[0.0],[0.0],[0.0]
['Stanislaus'],2020-06-10 to 2020-06-16,1,[282800.0],[1424000.0],[0.0],[373000.0],[1904000.0],[2048172.0],[47513.0],[7056.0],[9004.0],[84.0],[370300.0],[229600.0],[102900.0],[0.0],[0.0],[140560.0],[53228.0],[0.0],[7000.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Orange'],2020-06-10 to 2020-06-16,1,[1378108.0],[9651520.0],[82000.0],[1661898.0],[8509480.0],[14530698.0],[731383.0],[0.0],[368888.0],[7056.0],[1282000.0],[719460.0],[26628.0],[2100.0],[77350.0],[684320.0],[1050.0],[9660.0],[380940.0],[0.0],[16100.0],[10500.0],[0.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0]
['Nevada'],2020-06-10 to 2020-06-16,1,[0.0],[329000.0],[0.0],[63784.0],[495600.0],[722120.0],[19250.0],[0.0],[21980.0],[0.0],[57400.0],[32284.0],[42.0],[0.0],[0.0],[44100.0],[2800.0],[0.0],[3500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Luis Obispo'],2020-06-10 to 2020-06-16,1,[75560.0],[4001200.0],[526000.0],[42420.0],[2416800.0],[1318800.0],[124366.0],[0.0],[9555.0],[0.0],[21021.0],[0.0],[168.0],[0.0],[0.0],[0.0],[700.0],[0.0],[4200.0],[36400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Lassen'],2020-06-10 to 2020-06-16,1,[14784.0],[1619000.0],[0.0],[23870.0],[21000.0],[54600.0],[1120.0],[0.0],[0.0],[0.0],[35035.0],[35280.0],[100800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Imperial'],2020-06-10 to 2020-06-16,1,[466360.0],[5374500.0],[306000.0],[637932.0],[1306580.0],[3304960.0],[115496.0],[0.0],[199388.0],[0.0],[182000.0],[101556.0],[6783.0],[0.0],[0.0],[106680.0],[296235.0],[0.0],[42000.0],[0.0],[0.0],[3500.0],[0.0],[56.0],[169.0],[0.0],[0.0],[0.0],[0.0]
['San Bernardino'],2020-06-10 to 2020-06-16,1,[281380.0],[6216000.0],[2109200.0],[380744.0],[2240000.0],[4779718.0],[95252.0],[0.0],[24358.0],[0.0],[180000.0],[144242.0],[13853.0],[5250.0],[47700.0],[175000.0],[14875.0],[17500.0],[33040.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Clara'],2020-06-10 to 2020-06-16,1,[12550500.0],[20005250.0],[127000.0],[3636780.0],[14613200.0],[34492920.0],[875711.0],[0.0],[352302.0],[0.0],[718200.0],[705726.0],[89887.0],[0.0],[0.0],[70560.0],[446264.0],[420.0],[26600.0],[70000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Diego'],2020-06-10 to 2020-06-16,1,[1439616.0],[20900000.0],[1899000.0],[3434988.0],[7756736.0],[5931990.0],[1710953.0],[168.0],[338782.0],[0.0],[1050000.0],[500920.0],[30856.0],[0.0],[140000.0],[0.0],[77364.0],[0.0],[117600.0],[70000.0],[0.0],[3500.0],[0.0],[210.0],[140.0],[159600.0],[0.0],[0.0],[0.0]
['Humboldt'],2020-06-10 to 2020-06-16,1,[80700.0],[8552000.0],[84000.0],[36100.0],[305000.0],[1350640.0],[46792.0],[0.0],[101237.0],[0.0],[120400.0],[56434.0],[0.0],[5250.0],[0.0],[0.0],[0.0],[29526.0],[10500.0],[0.0],[1456.0],[0.0],[0.0],[35.0],[0.0],[21700.0],[0.0],[0.0],[0.0]
['Tulare'],2020-06-10 to 2020-06-16,1,[908922.0],[5458000.0],[11000.0],[562624.0],[2491000.0],[2058862.0],[72482.0],[0.0],[133697.0],[0.0],[196700.0],[153412.0],[3759.0],[1050.0],[0.0],[350000.0],[12775.0],[7098.0],[23380.0],[0.0],[4200.0],[3150.0],[0.0],[28.0],[399.0],[0.0],[0.0],[0.0],[0.0]
['Los Angeles'],2020-06-10 to 2020-06-16,1,[6020602.0],[120065900.0],[1237840.0],[13684362.0],[29195920.0],[84920560.0],[3286410.0],[53872.0],[496552.0],[2800.0],[3393550.0],[2253916.0],[168637.0],[9100.0],[0.0],[637840.0],[140609.0],[301.0],[59850.0],[0.0],[0.0],[0.0],[0.0],[140.0],[133.0],[70000.0],[0.0],[0.0],[0.0]
['Mendocino'],2020-06-10 to 2020-06-16,1,[52400.0],[777000.0],[319500.0],[159600.0],[0.0],[355000.0],[34302.0],[0.0],[0.0],[0.0],[45200.0],[7056.0],[427.0],[0.0],[0.0],[0.0],[0.0],[0.0],[19600.0],[10500.0],[301.0],[0.0],[0.0],[0.0],[7.0],[936.0],[0.0],[0.0],[0.0]
