county,week,week number,Examination Gloves,Viral Testing Media,Swabs,Other / None of the above,Cleaning Supplies,Surgical or Examination Gowns,Wipes,Shoe Covers,Surgical Masks,Face Shields (Disposable),Hand Sanitizers,Pharmaceuticals,Cloth Masks,Lab Supplies,Coveralls (Hospitals or EMS),Medical Equipment,N-95 Respirators,KN95 Respirators,Test Kits,Sample Collecting Kits,Goggles,Lab Kit,Body Bags,Personnel,Beds/Cots,Ventilators,Lab Platform,Fit Testing Supplies,Bedding Accessories
['Marin'],2021-02-27 to 2021-03-05,1,[10147000.0],[214648.0],[336000.0],[494186.0],[0.0],[1723990.0],[1064000.0],[140000.0],[6090700.0],[1183828.0],[212340.0],[1064.0],[905240.0],[0.0],[151396.0],[714.0],[4254180.0],[31640.0],[780720.0],[155050.0],[0.0],[0.0],[0.0],[133.0],[0.0],[0.0],[0.0],[28.0],[0.0]
['San Bernardino'],2021-02-27 to 2021-03-05,1,[30457000.0],[319130.0],[511000.0],[60277.0],[0.0],[2438394.0],[20160.0],[5250.0],[48794200.0],[1933232.0],[1011892.0],[31206.0],[11134508.0],[0.0],[49875.0],[25900.0],[8871898.0],[235900.0],[735490.0],[140000.0],[33040.0],[0.0],[8050.0],[5922.0],[0.0],[2100.0],[0.0],[140.0],[0.0]
['Kern'],2021-02-27 to 2021-03-05,1,[11330000.0],[832636.0],[876050.0],[137256.0],[0.0],[4631760.0],[131040.0],[0.0],[34770400.0],[3710448.0],[7176491.0],[17969.0],[9310000.0],[0.0],[0.0],[9863.0],[10829325.0],[137760.0],[714000.0],[0.0],[1400.0],[0.0],[0.0],[2989.0],[0.0],[42.0],[0.0],[0.0],[0.0]
['Orange'],2021-02-27 to 2021-03-05,1,[85471880.0],[3526320.0],[3703000.0],[2589402.0],[7056.0],[8511118.0],[3572800.0],[282100.0],[107757720.0],[6584968.0],[3576967.0],[49336.0],[14246120.0],[0.0],[14700.0],[2600122.0],[47680858.0],[1066660.0],[7052710.0],[1400.0],[1789340.0],[0.0],[14140.0],[2226.0],[16100.0],[756.0],[0.0],[364.0],[0.0]
['Sutter'],2021-02-27 to 2021-03-05,1,[623000.0],[47824.0],[68600.0],[68264.0],[0.0],[69440.0],[8400.0],[0.0],[1740200.0],[133000.0],[47369.0],[35.0],[428960.0],[0.0],[0.0],[0.0],[936880.0],[0.0],[118160.0],[33600.0],[700.0],[0.0],[0.0],[7.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Tulare'],2021-02-27 to 2021-03-05,1,[27972720.0],[504049.0],[1169700.0],[155946.0],[14.0],[1814414.0],[505120.0],[99050.0],[20031900.0],[1694322.0],[624694.0],[7108.0],[2699620.0],[0.0],[93975.0],[44989.0],[6685042.0],[350000.0],[574080.0],[534800.0],[44380.0],[0.0],[4970.0],[1169.0],[4200.0],[196.0],[0.0],[0.0],[0.0]
['Siskiyou'],2021-02-27 to 2021-03-05,1,[1330000.0],[44142.0],[197407.0],[350.0],[0.0],[106484.0],[7000.0],[0.0],[4319000.0],[35224.0],[60732.0],[2905.0],[385553.0],[0.0],[0.0],[67550.0],[861000.0],[70000.0],[226520.0],[73500.0],[0.0],[0.0],[0.0],[35.0],[0.0],[0.0],[0.0],[98.0],[0.0]
['Alameda'],2021-02-27 to 2021-03-05,1,[58818200.0],[2083298.0],[3078600.0],[1377866.0],[0.0],[2113008.0],[5699800.0],[28000.0],[108985100.0],[2215208.0],[2702046.0],[14887.0],[14670460.0],[305200.0],[61474.0],[359921.0],[18437000.0],[447440.0],[1339800.0],[120400.0],[97400.0],[0.0],[0.0],[469.0],[0.0],[70.0],[0.0],[1295.0],[0.0]
['Stanislaus'],2021-02-27 to 2021-03-05,1,[26439000.0],[1034908.0],[1178800.0],[26460.0],[1753612.0],[10003000.0],[39816.0],[126000.0],[16016000.0],[764652.0],[1189825.0],[108199.0],[3633700.0],[81200.0],[159978.0],[29547.0],[10368228.0],[257040.0],[1134880.0],[394800.0],[95200.0],[0.0],[700.0],[770.0],[0.0],[1470.0],[0.0],[7.0],[0.0]
['Lake'],2021-02-27 to 2021-03-05,1,[7815720.0],[116228.0],[154700.0],[350.0],[0.0],[211302.0],[429720.0],[2800.0],[5628760.0],[147000.0],[75656.0],[91.0],[345037.0],[0.0],[0.0],[350.0],[686900.0],[79380.0],[143080.0],[0.0],[14000.0],[0.0],[0.0],[35.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Del Norte'],2021-02-27 to 2021-03-05,1,[8096900.0],[355005.0],[358400.0],[211246.0],[42.0],[592102.0],[847392.0],[28000.0],[10046400.0],[90300.0],[198100.0],[0.0],[414484.0],[0.0],[10500.0],[0.0],[1698130.0],[190820.0],[141995.0],[322350.0],[8400.0],[0.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Mateo'],2021-02-27 to 2021-03-05,1,[16543800.0],[1349789.0],[1771350.0],[488782.0],[7056.0],[8202040.0],[19889520.0],[126000.0],[21067200.0],[976080.0],[477176.0],[5327.0],[2232272.0],[211400.0],[0.0],[163520.0],[3133200.0],[274750.0],[1633100.0],[285600.0],[66500.0],[0.0],[0.0],[329.0],[0.0],[91.0],[0.0],[301.0],[0.0]
['Tehama'],2021-02-27 to 2021-03-05,1,[685360.0],[700.0],[24500.0],[54866.0],[0.0],[33600.0],[48640.0],[0.0],[3004800.0],[67200.0],[48356.0],[3472.0],[251125.0],[0.0],[0.0],[19600.0],[412440.0],[0.0],[222600.0],[12600.0],[1400.0],[0.0],[0.0],[84.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Francisco'],2021-02-27 to 2021-03-05,1,[34672120.0],[1741704.0],[2315935.0],[149583.0],[6720.0],[421302.0],[1074320.0],[0.0],[41014300.0],[2187220.0],[629882.0],[9191.0],[3137869.0],[317800.0],[18060.0],[73584.0],[16513020.0],[747880.0],[1639120.0],[79450.0],[85820.0],[0.0],[0.0],[728.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Joaquin'],2021-02-27 to 2021-03-05,1,[38819760.0],[417228.0],[806435.0],[1205715.0],[700000.0],[4457124.0],[4844280.0],[576100.0],[28717290.0],[3418072.0],[952070.0],[6930.0],[4025952.0],[0.0],[310975.0],[71414.0],[12114158.0],[1248520.0],[1178660.0],[361200.0],[375900.0],[0.0],[0.0],[2198.0],[0.0],[343.0],[0.0],[105.0],[0.0]
['Santa Barbara'],2021-02-27 to 2021-03-05,1,[17655120.0],[880915.0],[1267000.0],[20349.0],[0.0],[1001552.0],[722736.0],[0.0],[19789000.0],[508200.0],[1104516.0],[5789.0],[3093580.0],[0.0],[29134.0],[21350.0],[14194880.0],[327880.0],[434000.0],[336000.0],[96600.0],[0.0],[0.0],[343.0],[168.0],[0.0],[0.0],[126.0],[0.0]
['Sacramento'],2021-02-27 to 2021-03-05,1,[199517700.0],[2625826.0],[5229000.0],[8760398.0],[396354.0],[17798340.0],[80344960.0],[520100.0],[95828950.0],[13916224.0],[7263819.0],[18109.0],[9715860.0],[37800.0],[166810.0],[304733.0],[48199205.0],[12314400.0],[2499830.0],[824600.0],[1250200.0],[0.0],[1820.0],[672.0],[0.0],[0.0],[0.0],[28.0],[0.0]
