county,week,week number,Examination Gloves,Lab Supplies,Viral Testing Media,Test Kits,Swabs,Surgical or Examination Gowns,Medical Equipment,Wipes,Surgical Masks,Cloth Masks,Shoe Covers,Other / None of the above,Face Shields (Disposable),N-95 Respirators,Hand Sanitizers,Cleaning Supplies,Sample Collecting Kits,Coveralls (Hospitals or EMS),Pharmaceuticals,Goggles,Body Bags,KN95 Respirators,Ventilators,Personnel,Beds/Cots,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Nevada'],2020-12-19 to 2020-12-25,3,[2072600.0],[0.0],[83139.0],[44240.0],[120400.0],[221984.0],[13300.0],[12600.0],[537000.0],[43000.0],[0.0],[22988.0],[25100.0],[1013320.0],[28598.0],[0.0],[4550.0],[2800.0],[301.0],[3500.0],[0.0],[95200.0],[0.0],[70.0],[0.0],[0.0],[0.0],[0.0],[8.0]
['San Diego'],2020-12-19 to 2020-12-25,3,[93647736.0],[141400.0],[1724320.0],[3076640.0],[2213000.0],[27297228.0],[4550.0],[4808888.0],[112204400.0],[6121500.0],[700000.0],[1737883.0],[3850756.0],[18553430.0],[2743587.0],[177282.0],[470400.0],[77364.0],[49266.0],[817600.0],[9870.0],[35280.0],[210.0],[861.0],[216.0],[0.0],[0.0],[0.0],[0.0]
['Inyo'],2020-12-19 to 2020-12-25,3,[3941960.0],[52500.0],[17150.0],[31590.0],[119700.0],[35924.0],[11508.0],[644000.0],[3279500.0],[851340.0],[28000.0],[5432.0],[171192.0],[614200.0],[83524.0],[756.0],[9100.0],[10087.0],[100806.0],[2100.0],[1050.0],[66920.0],[70.0],[21.0],[364.0],[0.0],[0.0],[0.0],[12.0]
['Yolo'],2020-12-19 to 2020-12-25,3,[7713160.0],[7056.0],[88256.0],[197120.0],[147000.0],[552846.0],[0.0],[456960.0],[4704000.0],[2196740.0],[42000.0],[15925.0],[228060.0],[1745880.0],[263535.0],[0.0],[21000.0],[28063.0],[259.0],[16800.0],[0.0],[334040.0],[0.0],[217.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Modoc'],2020-12-19 to 2020-12-25,3,[396000.0],[0.0],[53998.0],[62720.0],[71400.0],[91700.0],[19600.0],[0.0],[1325400.0],[43120.0],[0.0],[143073.0],[27100.0],[116680.0],[21924.0],[0.0],[1750.0],[0.0],[193.0],[0.0],[0.0],[8820.0],[14.0],[63.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Humboldt'],2020-12-19 to 2020-12-25,3,[9290960.0],[0.0],[551236.0],[152160.0],[721400.0],[1007300.0],[31486.0],[50400.0],[13241200.0],[387940.0],[5250.0],[792197.0],[229936.0],[1822240.0],[215432.0],[0.0],[441700.0],[0.0],[0.0],[10500.0],[0.0],[134960.0],[35.0],[0.0],[1456.0],[0.0],[0.0],[0.0],[28.0]
['Ventura'],2020-12-19 to 2020-12-25,3,[15576300.0],[0.0],[874328.0],[155520.0],[1582000.0],[2786350.0],[86520.0],[1452640.0],[58655450.0],[1782620.0],[0.0],[26292.0],[2286900.0],[15147720.0],[442365.0],[0.0],[797650.0],[35280.0],[5635.0],[46900.0],[0.0],[371140.0],[0.0],[0.0],[336.0],[0.0],[0.0],[0.0],[595.0]
['Tuolumne'],2020-12-19 to 2020-12-25,3,[3210000.0],[0.0],[42000.0],[73990.0],[154000.0],[219660.0],[0.0],[20160.0],[13367900.0],[84840.0],[0.0],[0.0],[185360.0],[1317064.0],[82425.0],[0.0],[28000.0],[350.0],[2212.0],[3500.0],[0.0],[114660.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Cruz'],2020-12-19 to 2020-12-25,3,[14808080.0],[71652.0],[293034.0],[248960.0],[456400.0],[2492700.0],[1414.0],[266000.0],[14168000.0],[688840.0],[476000.0],[29890.0],[629244.0],[7794185.0],[744520.0],[5600.0],[164500.0],[37800.0],[497.0],[34720.0],[0.0],[85820.0],[0.0],[651.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Solano'],2020-12-19 to 2020-12-25,3,[14674520.0],[93800.0],[411978.0],[562560.0],[693700.0],[594496.0],[7364.0],[40320.0],[8426600.0],[409920.0],[5250.0],[96306.0],[542738.0],[3552220.0],[174636.0],[0.0],[0.0],[33250.0],[3052.0],[70700.0],[0.0],[13020.0],[0.0],[0.0],[0.0],[45500.0],[0.0],[0.0],[7.0]
['Siskiyou'],2020-12-19 to 2020-12-25,3,[1239000.0],[0.0],[44142.0],[213080.0],[197407.0],[77784.0],[19950.0],[7000.0],[4053000.0],[273000.0],[0.0],[0.0],[7224.0],[847560.0],[33292.0],[0.0],[73500.0],[0.0],[2065.0],[0.0],[0.0],[70000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Del Norte'],2020-12-19 to 2020-12-25,3,[7589400.0],[0.0],[355005.0],[92075.0],[358400.0],[430152.0],[0.0],[847392.0],[9826400.0],[339220.0],[28000.0],[211204.0],[72100.0],[1461970.0],[172228.0],[42.0],[322350.0],[10500.0],[0.0],[8400.0],[0.0],[190820.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Plumas'],2020-12-19 to 2020-12-25,3,[301000.0],[0.0],[19600.0],[18560.0],[70000.0],[18200.0],[19600.0],[37800.0],[575400.0],[80500.0],[0.0],[16338.0],[21112.0],[88200.0],[16156.0],[0.0],[0.0],[2814.0],[1009.0],[5600.0],[0.0],[0.0],[168.0],[0.0],[0.0],[0.0],[0.0],[0.0],[133.0]
['Tehama'],2020-12-19 to 2020-12-25,3,[521360.0],[0.0],[700.0],[198360.0],[24500.0],[33600.0],[19600.0],[44800.0],[2578800.0],[35000.0],[0.0],[54866.0],[23800.0],[365560.0],[18396.0],[0.0],[12600.0],[0.0],[2482.0],[1400.0],[0.0],[0.0],[0.0],[84.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Madera'],2020-12-19 to 2020-12-25,3,[1099000.0],[0.0],[210812.0],[322880.0],[385000.0],[427000.0],[7070.0],[78400.0],[3298400.0],[773500.0],[140000.0],[451528.0],[537236.0],[3443160.0],[762132.0],[0.0],[84000.0],[0.0],[581.0],[7350.0],[0.0],[97860.0],[21.0],[56.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Sonoma'],2020-12-19 to 2020-12-25,3,[5867400.0],[0.0],[1142519.0],[375360.0],[1463000.0],[740320.0],[28.0],[250656.0],[14589400.0],[2231740.0],[0.0],[1148056.0],[576800.0],[6016780.0],[261618.0],[0.0],[890400.0],[106330.0],[945.0],[76300.0],[0.0],[222180.0],[0.0],[217.0],[0.0],[0.0],[0.0],[0.0],[70.0]
['Mono'],2020-12-19 to 2020-12-25,3,[1399500.0],[0.0],[48650.0],[90320.0],[140007.0],[65058.0],[0.0],[60200.0],[900200.0],[38500.0],[33250.0],[70700.0],[32676.0],[320860.0],[75334.0],[84.0],[0.0],[378.0],[0.0],[10500.0],[0.0],[42280.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Lassen'],2020-12-19 to 2020-12-25,3,[413000.0],[0.0],[35280.0],[56320.0],[35035.0],[55370.0],[12950.0],[280000.0],[3199000.0],[113400.0],[0.0],[0.0],[16884.0],[2912280.0],[49140.0],[0.0],[36400.0],[0.0],[101800.0],[0.0],[0.0],[88200.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['El Dorado'],2020-12-19 to 2020-12-25,3,[8309000.0],[0.0],[26600.0],[216960.0],[49000.0],[205520.0],[350.0],[33600.0],[2504600.0],[302540.0],[14000.0],[126763.0],[33096.0],[259140.0],[50356.0],[0.0],[78900.0],[1750.0],[0.0],[20300.0],[0.0],[88760.0],[0.0],[126.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Alpine'],2020-12-19 to 2020-12-25,3,[41160.0],[0.0],[5600.0],[13400.0],[0.0],[350.0],[0.0],[0.0],[42000.0],[0.0],[0.0],[252.0],[3500.0],[1400.0],[4494.0],[0.0],[700.0],[700.0],[0.0],[0.0],[0.0],[8820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Clara'],2020-12-26 to 2021-01-01,4,[51559200.0],[70000.0],[4494966.0],[2047440.0],[4540200.0],[3641680.0],[4620.0],[1898400.0],[58360050.0],[6004040.0],[1757000.0],[2367813.0],[13048028.0],[56668080.0],[1283443.0],[168000.0],[2940000.0],[446264.0],[93219.0],[26600.0],[0.0],[84560.0],[0.0],[609.0],[0.0],[0.0],[0.0],[0.0],[399.0]
['San Luis Obispo'],2020-12-26 to 2021-01-01,4,[6798400.0],[36400.0],[29400.0],[98560.0],[154021.0],[153020.0],[1750.0],[635880.0],[9692200.0],[960120.0],[182000.0],[12019.0],[239960.0],[2821140.0],[262388.0],[0.0],[0.0],[3150.0],[574.0],[42700.0],[0.0],[175280.0],[0.0],[7.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Kings'],2020-12-26 to 2021-01-01,4,[3170720.0],[0.0],[172480.0],[133020.0],[204421.0],[702674.0],[0.0],[14000.0],[4441500.0],[2038000.0],[7000.0],[329916.0],[132692.0],[4612120.0],[560434.0],[0.0],[179200.0],[0.0],[5012.0],[385.0],[0.0],[87640.0],[0.0],[77.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Yuba'],2020-12-26 to 2021-01-01,4,[9151000.0],[0.0],[74172.0],[125440.0],[210014.0],[612556.0],[728.0],[0.0],[4732000.0],[241500.0],[0.0],[145194.0],[25200.0],[366240.0],[214438.0],[0.0],[35000.0],[476.0],[602.0],[0.0],[0.0],[0.0],[0.0],[89.0],[140.0],[0.0],[0.0],[0.0],[0.0]
['Shasta'],2020-12-26 to 2021-01-01,4,[1127000.0],[0.0],[178416.0],[430080.0],[233100.0],[141554.0],[392.0],[6720.0],[4101300.0],[331660.0],[0.0],[48356.0],[58632.0],[453124.0],[129990.0],[0.0],[114800.0],[0.0],[231.0],[9100.0],[0.0],[0.0],[0.0],[98.0],[0.0],[0.0],[0.0],[0.0],[245.0]
['Los Angeles'],2020-12-26 to 2021-01-01,4,[275180600.0],[0.0],[7226070.0],[4562880.0],[10486550.0],[82932292.0],[452130.0],[6518512.0],[350883000.0],[18363520.0],[359100.0],[1709674.0],[14393902.0],[262921420.0],[12094369.0],[2800.0],[385000.0],[154819.0],[257516.0],[208350.0],[19740.0],[1270780.0],[4022.0],[6355.0],[1035.0],[0.0],[0.0],[0.0],[84.0]
['Sacramento'],2020-12-26 to 2021-01-01,4,[184467700.0],[37800.0],[2400394.0],[2066590.0],[4983000.0],[17396660.0],[56336.0],[73398400.0],[85152550.0],[4788140.0],[520100.0],[1010604.0],[12910624.0],[45857045.0],[6868519.0],[396312.0],[824600.0],[163625.0],[13937.0],[1229200.0],[0.0],[10789000.0],[0.0],[455.0],[0.0],[0.0],[0.0],[0.0],[28.0]
['Trinity'],2020-12-26 to 2021-01-01,4,[1663000.0],[7000.0],[20650.0],[71040.0],[35707.0],[87978.0],[19600.0],[25200.0],[483560.0],[38500.0],[0.0],[18200.0],[28560.0],[219884.0],[2492.0],[0.0],[17500.0],[126.0],[595.0],[0.0],[0.0],[8820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Napa'],2020-12-26 to 2021-01-01,4,[27738800.0],[0.0],[81592.0],[85120.0],[126000.0],[649880.0],[364.0],[77000.0],[5019000.0],[1039780.0],[0.0],[153363.0],[192276.0],[2094988.0],[1268274.0],[0.0],[131600.0],[0.0],[378.0],[23800.0],[0.0],[116060.0],[0.0],[35.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Colusa'],2020-12-26 to 2021-01-01,4,[9655000.0],[0.0],[36624.0],[48300.0],[35000.0],[9592.0],[19600.0],[15360.0],[9380000.0],[262500.0],[0.0],[70007.0],[83048.0],[483980.0],[137403.0],[0.0],[350.0],[0.0],[0.0],[11200.0],[0.0],[0.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Sutter'],2020-12-26 to 2021-01-01,4,[609000.0],[0.0],[47824.0],[118160.0],[68600.0],[71890.0],[0.0],[8400.0],[858200.0],[13500.0],[0.0],[68264.0],[39200.0],[903280.0],[17969.0],[0.0],[33600.0],[0.0],[35.0],[700.0],[0.0],[0.0],[0.0],[7.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Butte'],2020-12-26 to 2021-01-01,4,[1994720.0],[0.0],[256312.0],[248310.0],[361214.0],[297564.0],[700.0],[878400.0],[6278200.0],[679400.0],[0.0],[102053.0],[91584.0],[1373324.0],[191413.0],[0.0],[232400.0],[0.0],[742.0],[22876.0],[0.0],[376600.0],[20.0],[231.0],[0.0],[1400.0],[0.0],[0.0],[0.0]
['Calaveras'],2020-12-26 to 2021-01-01,4,[599200.0],[35000.0],[56000.0],[44800.0],[77007.0],[78050.0],[700.0],[93800.0],[70000.0],[117000.0],[0.0],[106400.0],[35910.0],[270424.0],[36680.0],[0.0],[33950.0],[0.0],[70.0],[4900.0],[0.0],[36680.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Contra Costa'],2020-12-26 to 2021-01-01,4,[21193900.0],[0.0],[2408217.0],[1104050.0],[2634100.0],[6557222.0],[0.0],[14762440.0],[14396200.0],[936600.0],[14000.0],[736015.0],[680736.0],[16999510.0],[1472604.0],[3570.0],[448700.0],[25200.0],[3248.0],[35000.0],[0.0],[1294020.0],[175.0],[315.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Merced'],2020-12-26 to 2021-01-01,4,[14344000.0],[0.0],[803915.0],[684320.0],[980000.0],[1895950.0],[2716.0],[275604.0],[13198400.0],[1062060.0],[21000.0],[101052.0],[949692.0],[4234400.0],[157766.0],[0.0],[443100.0],[0.0],[1344.0],[79205.0],[3430.0],[35280.0],[40.0],[0.0],[0.0],[0.0],[0.0],[0.0],[14.0]
['Sierra'],2020-12-26 to 2021-01-01,4,[109060.0],[10500.0],[5600.0],[4480.0],[10500.0],[12040.0],[34300.0],[33600.0],[46900.0],[10500.0],[0.0],[7000.0],[700.0],[21560.0],[12754.0],[0.0],[5600.0],[0.0],[112.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[21.0]
['Kern'],2020-12-26 to 2021-01-01,4,[7147000.0],[0.0],[829836.0],[707000.0],[876050.0],[4631060.0],[1050.0],[16800.0],[28234400.0],[5767300.0],[0.0],[137198.0],[3072748.0],[10417685.0],[7004179.0],[0.0],[0.0],[0.0],[10997.0],[1400.0],[0.0],[122640.0],[0.0],[1407.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Orange'],2020-12-26 to 2021-01-01,4,[36167880.0],[0.0],[3469620.0],[3447590.0],[3472000.0],[8372468.0],[217232.0],[571920.0],[93445520.0],[6296700.0],[282100.0],[2238089.0],[5210968.0],[47172538.0],[3114307.0],[7056.0],[1400.0],[11550.0],[49336.0],[1782340.0],[14000.0],[1003240.0],[0.0],[322.0],[16100.0],[0.0],[0.0],[0.0],[154.0]
['Marin'],2020-12-26 to 2021-01-01,4,[8435000.0],[0.0],[214648.0],[284080.0],[336000.0],[1691340.0],[700.0],[1064000.0],[4967200.0],[303020.0],[140000.0],[494186.0],[1074528.0],[4212740.0],[144158.0],[0.0],[155050.0],[151396.0],[1064.0],[0.0],[0.0],[31640.0],[0.0],[133.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Mateo'],2020-12-26 to 2021-01-01,4,[12685800.0],[211400.0],[1244453.0],[952780.0],[1666350.0],[7479640.0],[120715.0],[19846320.0],[18071200.0],[672280.0],[126000.0],[488782.0],[690480.0],[2907480.0],[350476.0],[7056.0],[285600.0],[0.0],[5327.0],[66500.0],[0.0],[274750.0],[70.0],[105.0],[0.0],[0.0],[0.0],[0.0],[189.0]
['Imperial'],2020-12-26 to 2021-01-01,4,[13166580.0],[0.0],[324324.0],[383600.0],[406000.0],[1336482.0],[2765.0],[110880.0],[30813300.0],[799540.0],[0.0],[464710.0],[672560.0],[7644780.0],[1226960.0],[0.0],[152600.0],[497567.0],[112126.0],[42000.0],[3500.0],[1165500.0],[224.0],[1134.0],[210.0],[0.0],[0.0],[0.0],[0.0]
['Alameda'],2020-12-26 to 2021-01-01,4,[45868200.0],[305200.0],[2083298.0],[1321880.0],[3078600.0],[2107308.0],[206521.0],[4800600.0],[101799600.0],[10617600.0],[28000.0],[1354619.0],[1538208.0],[16045400.0],[2447606.0],[0.0],[120400.0],[61474.0],[13251.0],[92400.0],[0.0],[447440.0],[70.0],[329.0],[0.0],[0.0],[0.0],[0.0],[1288.0]
['Placer'],2020-12-26 to 2021-01-01,4,[11082000.0],[0.0],[1083824.0],[707840.0],[1281000.0],[2473090.0],[0.0],[1055600.0],[23125200.0],[1144500.0],[350000.0],[11376.0],[520100.0],[3521224.0],[584444.0],[0.0],[660800.0],[15260.0],[101983.0],[3585400.0],[0.0],[1398880.0],[0.0],[77.0],[0.0],[0.0],[0.0],[0.0],[98.0]
['San Joaquin'],2020-12-26 to 2021-01-01,4,[34332760.0],[0.0],[413700.0],[1072420.0],[806435.0],[3771124.0],[1400.0],[2271480.0],[21836290.0],[1290100.0],[576100.0],[1204605.0],[2792972.0],[11341918.0],[794850.0],[700000.0],[361200.0],[310975.0],[6930.0],[375900.0],[0.0],[1248520.0],[203.0],[210.0],[0.0],[0.0],[0.0],[0.0],[70.0]
['Riverside'],2020-12-26 to 2021-01-01,4,[78041180.0],[2443000.0],[1019298.0],[1056300.0],[756000.0],[8260000.0],[19040.0],[1228080.0],[92804600.0],[3041920.0],[10500.0],[274026.0],[695016.0],[19944960.0],[1820441.0],[1680.0],[735000.0],[56350.0],[39122.0],[182000.0],[3500.0],[977200.0],[0.0],[441.0],[0.0],[0.0],[0.0],[0.0],[147.0]
['Amador'],2020-12-26 to 2021-01-01,4,[924000.0],[0.0],[33712.0],[40901.0],[98007.0],[188300.0],[7700.0],[0.0],[1288000.0],[119000.0],[0.0],[10553.0],[103376.0],[1364720.0],[44436.0],[210.0],[7000.0],[7000.0],[230.0],[70000.0],[0.0],[44100.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mariposa'],2020-12-26 to 2021-01-01,4,[987000.0],[0.0],[19712.0],[67200.0],[49000.0],[11592.0],[0.0],[29400.0],[865200.0],[31500.0],[7000.0],[14700.0],[20440.0],[107520.0],[77252.0],[0.0],[0.0],[0.0],[100800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mendocino'],2020-12-26 to 2021-01-01,4,[3220000.0],[24612.0],[86961.0],[143360.0],[144200.0],[507360.0],[0.0],[0.0],[4403000.0],[541590.0],[0.0],[4550.0],[232400.0],[1326640.0],[142282.0],[140000.0],[68152.0],[0.0],[448.0],[19600.0],[0.0],[14000.0],[0.0],[84.0],[301.0],[0.0],[0.0],[0.0],[0.0]
['Stanislaus'],2020-12-26 to 2021-01-01,4,[23998000.0],[81200.0],[1010572.0],[684320.0],[1150600.0],[9548550.0],[1647.0],[19656.0],[12264000.0],[1714080.0],[126000.0],[26460.0],[404852.0],[10061108.0],[1057665.0],[3612.0],[394800.0],[159978.0],[107450.0],[95200.0],[700.0],[257040.0],[1260.0],[553.0],[0.0],[0.0],[0.0],[0.0],[4.0]
['Fresno'],2020-12-26 to 2021-01-01,4,[33850040.0],[0.0],[801500.0],[839580.0],[1052800.0],[1289960.0],[36330.0],[633360.0],[51079000.0],[8318800.0],[241150.0],[463161.0],[1394400.0],[11229120.0],[1988203.0],[0.0],[10500.0],[8960.0],[11543.0],[75600.0],[0.0],[897540.0],[0.0],[581.0],[0.0],[0.0],[0.0],[0.0],[861.0]
['San Francisco'],2020-12-26 to 2021-01-01,4,[34483120.0],[317800.0],[1636368.0],[1017040.0],[2150935.0],[400302.0],[3584.0],[494480.0],[38725400.0],[2073680.0],[0.0],[149583.0],[1960420.0],[16393020.0],[541954.0],[6720.0],[79450.0],[18060.0],[6167.0],[85820.0],[0.0],[747880.0],[0.0],[728.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Tulare'],2020-12-26 to 2021-01-01,4,[27306720.0],[0.0],[504049.0],[488320.0],[1169700.0],[1800414.0],[44935.0],[467320.0],[16626400.0],[938000.0],[99050.0],[155526.0],[1365322.0],[6564082.0],[501214.0],[14.0],[534800.0],[93975.0],[7014.0],[44380.0],[4970.0],[350000.0],[34.0],[399.0],[4200.0],[0.0],[0.0],[0.0],[0.0]
['Monterey'],2020-12-26 to 2021-01-01,4,[19166000.0],[0.0],[767053.0],[424760.0],[1001000.0],[1743990.0],[1833.0],[3963180.0],[21640936.0],[471800.0],[102200.0],[182434.0],[612080.0],[11946780.0],[1151507.0],[0.0],[238000.0],[58513.0],[2345.0],[84000.0],[700.0],[672420.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0],[252.0]
['San Bernardino'],2020-12-26 to 2021-01-01,4,[25510000.0],[0.0],[319130.0],[393090.0],[511000.0],[2018394.0],[18550.0],[6720.0],[35557200.0],[4400620.0],[5250.0],[59926.0],[753732.0],[8441818.0],[632828.0],[0.0],[140000.0],[49875.0],[31206.0],[33040.0],[1050.0],[235900.0],[420.0],[674.0],[0.0],[0.0],[0.0],[0.0],[70.0]
['Lake'],2020-12-26 to 2021-01-01,4,[6411720.0],[0.0],[112700.0],[129640.0],[154700.0],[166602.0],[350.0],[303000.0],[5105400.0],[173040.0],[2800.0],[350.0],[108500.0],[623860.0],[50504.0],[0.0],[0.0],[0.0],[91.0],[14000.0],[0.0],[79380.0],[0.0],[35.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Barbara'],2020-12-26 to 2021-01-01,4,[17217120.0],[0.0],[880915.0],[434000.0],[1267000.0],[964502.0],[7350.0],[208656.0],[17405200.0],[1929060.0],[0.0],[20349.0],[269600.0],[14161280.0],[998472.0],[0.0],[336000.0],[29134.0],[5089.0],[95200.0],[0.0],[327880.0],[0.0],[203.0],[168.0],[0.0],[0.0],[0.0],[126.0]
['San Benito'],2020-12-26 to 2021-01-01,4,[1576000.0],[7000.0],[250076.0],[62400.0],[516000.0],[837070.0],[32900.0],[606320.0],[1953000.0],[31500.0],[14000.0],[3962.0],[15400.0],[1585430.0],[8960.0],[0.0],[89600.0],[1925.0],[56.0],[0.0],[0.0],[56280.0],[0.0],[70.0],[0.0],[0.0],[0.0],[0.0],[14.0]
['Glenn'],2020-12-26 to 2021-01-01,4,[770000.0],[0.0],[32256.0],[81400.0],[91000.0],[19950.0],[19600.0],[0.0],[1598800.0],[45500.0],[0.0],[40.0],[3500.0],[1736280.0],[7252.0],[0.0],[1750.0],[0.0],[1785.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Nevada'],2020-12-26 to 2021-01-01,4,[2126600.0],[0.0],[83139.0],[44240.0],[120400.0],[221984.0],[13300.0],[12600.0],[558600.0],[49000.0],[0.0],[22988.0],[26600.0],[1013320.0],[30254.0],[0.0],[4550.0],[2800.0],[301.0],[3500.0],[0.0],[95200.0],[0.0],[70.0],[0.0],[0.0],[0.0],[0.0],[28.0]
['San Diego'],2020-12-26 to 2021-01-01,4,[105098736.0],[141400.0],[1731520.0],[3399200.0],[2323000.0],[27297228.0],[4550.0],[4808888.0],[112204400.0],[6121500.0],[700000.0],[1737883.0],[3850756.0],[18593750.0],[2743587.0],[177282.0],[470400.0],[77364.0],[49266.0],[817600.0],[9870.0],[35280.0],[210.0],[869.0],[504.0],[0.0],[0.0],[0.0],[0.0]
['Inyo'],2020-12-26 to 2021-01-01,4,[4061960.0],[52500.0],[17150.0],[39750.0],[119700.0],[35924.0],[14508.0],[648800.0],[3290300.0],[861340.0],[28000.0],[5488.0],[174192.0],[648880.0],[86724.0],[756.0],[9100.0],[10087.0],[100800.0],[2100.0],[1050.0],[66920.0],[70.0],[21.0],[364.0],[0.0],[0.0],[0.0],[21.0]
['Yolo'],2020-12-26 to 2021-01-01,4,[7713160.0],[7056.0],[88256.0],[197120.0],[147000.0],[552846.0],[0.0],[456960.0],[4704000.0],[2226740.0],[42000.0],[15925.0],[228260.0],[1763160.0],[266035.0],[0.0],[21000.0],[28063.0],[259.0],[16800.0],[0.0],[334040.0],[0.0],[217.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Modoc'],2020-12-26 to 2021-01-01,4,[399000.0],[0.0],[53998.0],[62720.0],[71400.0],[91700.0],[19600.0],[0.0],[1331400.0],[43120.0],[0.0],[143073.0],[30100.0],[119560.0],[21924.0],[0.0],[1750.0],[0.0],[252.0],[0.0],[0.0],[8820.0],[14.0],[63.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Humboldt'],2020-12-26 to 2021-01-01,4,[9298960.0],[0.0],[551236.0],[157920.0],[729400.0],[1007300.0],[31486.0],[50400.0],[13241200.0],[387940.0],[5250.0],[792197.0],[229936.0],[1826080.0],[215432.0],[0.0],[441700.0],[0.0],[0.0],[10500.0],[0.0],[134960.0],[35.0],[0.0],[1456.0],[0.0],[0.0],[0.0],[28.0]
['Ventura'],2020-12-26 to 2021-01-01,4,[16106300.0],[0.0],[874328.0],[190080.0],[1582000.0],[2786350.0],[86620.0],[1452640.0],[58655450.0],[1782620.0],[0.0],[26292.0],[2286900.0],[15147720.0],[442365.0],[0.0],[797650.0],[35280.0],[5635.0],[46900.0],[0.0],[371140.0],[50.0],[0.0],[336.0],[0.0],[0.0],[0.0],[595.0]
['Tuolumne'],2020-12-26 to 2021-01-01,4,[3322000.0],[0.0],[42000.0],[94470.0],[154000.0],[234660.0],[0.0],[20160.0],[13367900.0],[84840.0],[0.0],[8.0],[185360.0],[1317064.0],[82425.0],[0.0],[28000.0],[350.0],[2212.0],[3500.0],[0.0],[114660.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Cruz'],2020-12-26 to 2021-01-01,4,[14808080.0],[71652.0],[293034.0],[338560.0],[456400.0],[2492700.0],[1414.0],[266000.0],[14168000.0],[938840.0],[476000.0],[29890.0],[629244.0],[7794185.0],[744520.0],[5600.0],[164500.0],[37800.0],[497.0],[34720.0],[0.0],[85820.0],[0.0],[651.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Solano'],2020-12-26 to 2021-01-01,4,[14674520.0],[93800.0],[411978.0],[676480.0],[693700.0],[594496.0],[7364.0],[40320.0],[8426600.0],[409920.0],[5250.0],[96345.0],[542738.0],[3552220.0],[174636.0],[0.0],[0.0],[33250.0],[3052.0],[70700.0],[0.0],[13020.0],[0.0],[0.0],[0.0],[45500.0],[0.0],[0.0],[15.0]
['Siskiyou'],2020-12-26 to 2021-01-01,4,[1239000.0],[0.0],[44142.0],[216920.0],[197407.0],[77784.0],[19950.0],[7000.0],[4053000.0],[273000.0],[0.0],[0.0],[7224.0],[847560.0],[33292.0],[0.0],[73500.0],[0.0],[2835.0],[0.0],[0.0],[70000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[56.0]
['Del Norte'],2020-12-26 to 2021-01-01,4,[7764400.0],[0.0],[355005.0],[112555.0],[358400.0],[530152.0],[0.0],[847392.0],[9836400.0],[339220.0],[28000.0],[211222.0],[72100.0],[1476370.0],[172228.0],[42.0],[322350.0],[10500.0],[0.0],[8400.0],[0.0],[190820.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Plumas'],2020-12-26 to 2021-01-01,4,[301000.0],[0.0],[19600.0],[31360.0],[70000.0],[18200.0],[19600.0],[37800.0],[575400.0],[80500.0],[0.0],[16338.0],[21112.0],[88200.0],[16156.0],[0.0],[0.0],[2814.0],[1414.0],[5600.0],[0.0],[0.0],[168.0],[0.0],[0.0],[0.0],[0.0],[0.0],[133.0]
