county,week,week number,Examination Gloves,Lab Supplies,Viral Testing Media,Test Kits,Swabs,Surgical or Examination Gowns,Medical Equipment,Wipes,Surgical Masks,Cloth Masks,Shoe Covers,Other / None of the above,Face Shields (Disposable),N-95 Respirators,Hand Sanitizers,Cleaning Supplies,Sample Collecting Kits,Coveralls (Hospitals or EMS),Pharmaceuticals,Goggles,Body Bags,KN95 Respirators,Ventilators,Personnel,Beds/Cots,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Sierra'],2020-12-05 to 2020-12-11,1,[109060.0],[10500.0],[5600.0],[4480.0],[10500.0],[12040.0],[7000.0],[33600.0],[46900.0],[10500.0],[0.0],[7000.0],[700.0],[18480.0],[12754.0],[0.0],[5600.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Kern'],2020-12-05 to 2020-12-11,1,[7139000.0],[0.0],[815836.0],[578480.0],[862050.0],[4629860.0],[1050.0],[16800.0],[26832400.0],[5767300.0],[0.0],[137186.0],[3072748.0],[10348485.0],[6996795.0],[0.0],[0.0],[0.0],[10997.0],[1400.0],[0.0],[122640.0],[0.0],[1414.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Orange'],2020-12-05 to 2020-12-11,1,[36163880.0],[0.0],[2769564.0],[2223910.0],[2772000.0],[8364888.0],[44282.0],[451920.0],[92745520.0],[5796700.0],[282100.0],[2197929.0],[5210968.0],[47149058.0],[2764211.0],[7056.0],[1400.0],[11550.0],[49336.0],[1782340.0],[14000.0],[1003240.0],[0.0],[232.0],[16100.0],[0.0],[0.0],[0.0],[0.0]
['Marin'],2020-12-05 to 2020-12-11,1,[8067000.0],[0.0],[214648.0],[184240.0],[336000.0],[1411340.0],[700.0],[1064000.0],[4967200.0],[293020.0],[140000.0],[494186.0],[1074528.0],[4212740.0],[143458.0],[0.0],[155050.0],[151396.0],[1064.0],[0.0],[0.0],[31640.0],[0.0],[133.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Mateo'],2020-12-05 to 2020-12-11,1,[10327800.0],[211400.0],[1244453.0],[562380.0],[1666350.0],[7010640.0],[120470.0],[19829040.0],[18071200.0],[672280.0],[126000.0],[480754.0],[690480.0],[2806440.0],[350476.0],[7056.0],[285600.0],[0.0],[5327.0],[66500.0],[0.0],[274750.0],[0.0],[87.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Imperial'],2020-12-05 to 2020-12-11,1,[11058580.0],[0.0],[290556.0],[329840.0],[371000.0],[1328682.0],[2765.0],[110880.0],[26613300.0],[799540.0],[0.0],[441262.0],[672560.0],[7576380.0],[526960.0],[0.0],[117600.0],[497567.0],[112126.0],[42000.0],[3500.0],[1165500.0],[184.0],[1015.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Alameda'],2020-12-05 to 2020-12-11,1,[42564200.0],[305200.0],[2083298.0],[555800.0],[2938600.0],[2106908.0],[157521.0],[4800600.0],[101757600.0],[10617600.0],[28000.0],[1336591.0],[1538208.0],[15205400.0],[2447606.0],[0.0],[120400.0],[61474.0],[13251.0],[92400.0],[0.0],[447440.0],[70.0],[134.0],[0.0],[0.0],[0.0],[0.0],[552.0]
['Placer'],2020-12-05 to 2020-12-11,1,[8932000.0],[0.0],[1083824.0],[261120.0],[1281000.0],[2299990.0],[0.0],[635600.0],[22775200.0],[1144500.0],[350000.0],[11368.0],[478100.0],[3494344.0],[583744.0],[0.0],[660800.0],[15260.0],[101983.0],[3585400.0],[0.0],[1398880.0],[0.0],[77.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Joaquin'],2020-12-05 to 2020-12-11,1,[28529760.0],[0.0],[413700.0],[816420.0],[806435.0],[3420424.0],[1400.0],[2111480.0],[21811090.0],[1279600.0],[576100.0],[1204595.0],[2785972.0],[11291518.0],[640738.0],[700000.0],[361200.0],[310975.0],[6930.0],[374500.0],[0.0],[1248520.0],[0.0],[114.0],[0.0],[0.0],[0.0],[0.0],[35.0]
['Riverside'],2020-12-05 to 2020-12-11,1,[29989180.0],[2443000.0],[1019298.0],[1051820.0],[756000.0],[1260000.0],[19040.0],[1228080.0],[92718200.0],[2971920.0],[10500.0],[273252.0],[695016.0],[19864320.0],[1820021.0],[1680.0],[735000.0],[56350.0],[38122.0],[182000.0],[3500.0],[977200.0],[0.0],[312.0],[0.0],[0.0],[0.0],[0.0],[0.0]
