county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag
Nevada,2020-12-16,3,3,3,3,0,0,0,0,3,3,0,0,3,3,California
Nevada,2020-12-17,6,9,6,9,0,0,0,0,6,9,0,0,6,9,California
Nevada,2020-12-18,51,60,51,60,0,0,0,0,51,60,0,0,51,60,California
Nevada,2020-12-19,55,115,55,115,0,0,0,0,55,115,0,0,55,115,California
Nevada,2020-12-20,12,127,12,127,0,0,0,0,12,127,0,0,12,127,California
Nevada,2020-12-21,69,196,69,196,0,0,0,0,69,196,0,0,69,196,California
Nevada,2020-12-22,91,287,89,285,2,2,0,0,91,287,0,0,91,287,California
Nevada,2020-12-23,234,521,202,487,32,34,0,0,234,521,0,0,234,521,California
Nevada,2020-12-24,15,536,12,499,3,37,0,0,15,536,0,0,15,536,California
Nevada,2020-12-25,2,538,2,501,0,37,0,0,2,538,0,0,2,538,California
Nevada,2020-12-26,5,543,3,504,2,39,0,0,5,543,0,0,5,543,California
Nevada,2020-12-27,88,631,88,592,0,39,0,0,88,631,0,0,88,631,California
Nevada,2020-12-28,170,801,93,685,77,116,0,0,170,801,0,0,170,801,California
Nevada,2020-12-29,100,901,75,760,25,141,0,0,100,901,0,0,100,901,California
Nevada,2020-12-30,85,986,66,826,19,160,0,0,85,986,0,0,85,986,California
Nevada,2020-12-31,39,1025,9,835,30,190,0,0,39,1025,0,0,39,1025,California
Nevada,2021-01-01,1,1026,0,835,1,191,0,0,1,1026,0,0,1,1026,California
Nevada,2021-01-02,1,1027,1,836,0,191,0,0,1,1027,0,0,1,1027,California
Nevada,2021-01-03,128,1155,126,962,2,193,0,0,128,1155,0,0,128,1155,California
Nevada,2021-01-04,71,1226,47,1009,24,217,0,0,71,1226,0,0,71,1226,California
Nevada,2021-01-05,271,1497,130,1139,141,358,0,0,270,1495,1,1,270,1496,California
Nevada,2021-01-06,93,1590,44,1183,49,407,0,0,85,1572,8,9,85,1581,California
Nevada,2021-01-07,217,1807,43,1226,174,581,0,0,209,1776,6,15,210,1791,California
Nevada,2021-01-08,220,2027,127,1353,93,674,0,0,169,1894,51,66,169,1960,California
Nevada,2021-01-09,63,2090,56,1409,7,681,0,0,15,1861,48,114,15,1975,California
Nevada,2021-01-10,17,2107,9,1418,8,689,0,0,9,1862,8,122,9,1984,California
Nevada,2021-01-11,183,2290,130,1548,53,742,0,0,56,1791,127,249,56,2040,California
Nevada,2021-01-12,605,2895,457,2005,148,890,0,0,537,2260,68,317,537,2577,California
Nevada,2021-01-13,259,3154,144,2149,115,1005,0,0,123,2248,136,453,124,2701,California
Nevada,2021-01-14,228,3382,123,2272,105,1110,0,0,210,2441,17,470,210,2911,California
Nevada,2021-01-15,392,3774,170,2442,222,1332,0,0,294,2637,98,568,294,3205,California
Nevada,2021-01-16,292,4066,13,2455,279,1611,0,0,289,2923,3,571,289,3494,California
Nevada,2021-01-17,36,4102,32,2487,4,1615,0,0,33,2953,3,574,33,3527,California
Nevada,2021-01-18,148,4250,40,2527,108,1723,0,0,138,3081,10,584,138,3665,California
Nevada,2021-01-19,231,4481,82,2609,149,1872,0,0,213,3276,18,602,213,3878,California
Nevada,2021-01-20,258,4739,152,2761,106,1978,0,0,245,3508,13,615,245,4123,California
Nevada,2021-01-21,334,5073,207,2968,127,2105,0,0,321,3816,13,628,321,4444,California
Nevada,2021-01-22,339,5412,209,3177,130,2235,0,0,308,4093,31,659,308,4752,California
Nevada,2021-01-23,171,5583,104,3281,67,2302,0,0,171,4264,0,659,171,4923,California
Nevada,2021-01-24,104,5687,96,3377,8,2310,0,0,67,4294,37,696,67,4990,California
Nevada,2021-01-25,262,5949,135,3512,127,2437,0,0,201,4434,61,757,201,5191,California
Nevada,2021-01-26,395,6344,141,3653,254,2691,0,0,294,4627,101,858,294,5485,California
Nevada,2021-01-27,401,6745,238,3891,163,2854,0,0,377,4980,24,882,377,5862,California
Nevada,2021-01-28,450,7195,305,4196,145,2999,0,0,412,5354,38,920,412,6274,California
Nevada,2021-01-29,591,7786,389,4585,202,3201,0,0,569,5902,22,942,570,6844,California
Nevada,2021-01-30,230,8016,102,4687,128,3329,0,0,227,6126,3,945,227,7071,California
Nevada,2021-01-31,101,8117,85,4772,16,3345,0,0,101,6227,0,945,101,7172,California
Nevada,2021-02-01,290,8407,71,4843,219,3564,0,0,276,6489,14,959,276,7448,California
Nevada,2021-02-02,512,8919,169,5012,343,3907,0,0,319,6615,193,1152,319,7767,California
Nevada,2021-02-03,806,9725,566,5578,240,4147,0,0,753,7316,52,1204,753,8520,California
Nevada,2021-02-04,749,10474,399,5977,350,4497,0,0,501,7570,247,1451,501,9021,California
Nevada,2021-02-05,638,11112,361,6338,277,4774,0,0,455,7843,182,1633,455,9476,California
Nevada,2021-02-06,274,11386,84,6422,190,4964,0,0,248,8065,26,1659,248,9724,California
Nevada,2021-02-07,243,11629,188,6610,55,5019,0,0,189,8200,54,1713,189,9913,California
Nevada,2021-02-08,644,12273,407,7017,237,5256,0,0,546,8648,98,1811,546,10459,California
Nevada,2021-02-09,603,12876,339,7356,264,5520,0,0,466,8977,137,1948,466,10925,California
Nevada,2021-02-10,637,13513,320,7676,317,5837,0,0,410,9160,227,2175,410,11335,California
Nevada,2021-02-11,854,14367,499,8175,355,6192,0,0,532,9371,321,2496,532,11867,California
Nevada,2021-02-12,916,15283,430,8605,486,6678,0,0,606,9668,309,2805,606,12473,California
Nevada,2021-02-13,576,15859,230,8835,346,7024,0,0,383,9861,190,2995,383,12856,California
Nevada,2021-02-14,223,16082,117,8952,106,7130,0,0,193,10025,30,3025,194,13050,California
Nevada,2021-02-15,707,16789,442,9394,265,7395,0,0,544,10406,163,3188,544,13594,California
Nevada,2021-02-16,608,17397,199,9593,409,7804,0,0,449,10697,158,3346,449,14043,California
Nevada,2021-02-17,1169,18566,754,10347,415,8219,0,0,868,11264,301,3647,868,14911,California
Nevada,2021-02-18,992,19558,549,10896,443,8662,0,0,600,11473,391,4038,600,15511,California
Nevada,2021-02-19,918,20476,629,11525,289,8951,0,0,571,11697,347,4385,571,16082,California
Nevada,2021-02-20,270,20746,99,11624,171,9122,0,0,161,11749,109,4494,161,16243,California
Nevada,2021-02-21,72,20818,67,11691,5,9127,0,0,9,11695,63,4557,9,16252,California
Nevada,2021-02-22,483,21301,324,12015,159,9286,0,0,341,11894,142,4699,341,16593,California
Nevada,2021-02-23,433,21734,193,12208,240,9526,0,0,203,11870,227,4926,203,16796,California
Nevada,2021-02-24,462,22196,234,12442,228,9754,0,0,246,11902,216,5142,248,17044,California
Nevada,2021-02-25,826,23022,456,12898,370,10124,0,0,403,11884,421,5563,403,17447,California
Nevada,2021-02-26,1182,24204,867,13765,315,10439,0,0,392,11487,790,6353,393,17840,California
Nevada,2021-02-27,330,24534,109,13874,221,10660,0,0,163,11484,167,6520,164,18004,California
Nevada,2021-02-28,234,24768,141,14015,93,10753,0,0,101,11452,133,6653,101,18105,California
Nevada,2021-03-01,771,25539,395,14410,376,11129,0,0,330,11342,440,7093,330,18435,California
Nevada,2021-03-02,659,26198,249,14659,410,11539,0,0,455,11597,201,7294,456,18891,California
Nevada,2021-03-03,881,27079,476,15135,405,11944,0,0,429,11575,451,7745,429,19320,California
Nevada,2021-03-04,986,28065,602,15737,384,12328,0,0,390,11372,593,8338,390,19710,California
Nevada,2021-03-05,696,28761,404,16141,282,12610,10,10,315,11318,379,8717,325,20035,California
Nevada,2021-03-06,330,29091,111,16252,193,12803,26,36,122,11258,208,8925,148,20183,California
Nevada,2021-03-07,194,29285,108,16360,66,12869,20,56,52,11188,141,9066,71,20254,California
Nevada,2021-03-08,696,29981,526,16886,132,13001,38,94,317,11165,378,9444,355,20609,California
Nevada,2021-03-09,574,30555,281,17167,262,13263,31,125,338,11298,235,9679,368,20977,California
Nevada,2021-03-10,857,31412,574,17741,246,13509,37,162,273,11026,582,10261,310,21287,California
Nevada,2021-03-11,1032,32444,663,18404,342,13851,27,189,498,11020,531,10792,525,21812,California
Nevada,2021-03-12,1021,33465,664,19068,324,14175,33,222,418,10870,602,11394,452,22264,California
Nevada,2021-03-13,217,33682,53,19121,158,14333,6,228,95,10850,122,11516,102,22366,California
Nevada,2021-03-14,98,33780,19,19140,76,14409,3,231,25,10805,73,11589,28,22394,California
Nevada,2021-03-15,815,34595,438,19578,367,14776,10,241,332,10666,481,12070,342,22736,California
Nevada,2021-03-16,926,35521,426,20004,452,15228,48,289,597,10983,328,12398,645,23381,California
Nevada,2021-03-17,923,36444,386,20390,528,15756,9,298,504,11078,418,12816,513,23894,California
Nevada,2021-03-18,537,36981,325,20715,204,15960,8,306,278,11107,259,13075,288,24182,California
Nevada,2021-03-19,239,37220,122,20837,114,16074,3,309,88,11047,151,13226,91,24273,California
Sutter,2020-12-15,1,1,1,1,0,0,0,0,1,1,0,0,1,1,California
Sutter,2020-12-16,4,5,4,5,0,0,0,0,4,5,0,0,4,5,California
Sutter,2020-12-17,2,7,2,7,0,0,0,0,2,7,0,0,2,7,California
Sutter,2020-12-18,20,27,20,27,0,0,0,0,20,27,0,0,20,27,California
Sutter,2020-12-19,44,71,44,71,0,0,0,0,44,71,0,0,44,71,California
Sutter,2020-12-20,42,113,42,113,0,0,0,0,42,113,0,0,42,113,California
Sutter,2020-12-21,101,214,101,214,0,0,0,0,101,214,0,0,101,214,California
Sutter,2020-12-22,174,388,174,388,0,0,0,0,174,388,0,0,174,388,California
Sutter,2020-12-23,114,502,110,498,4,4,0,0,114,502,0,0,114,502,California
Sutter,2020-12-24,17,519,11,509,6,10,0,0,17,519,0,0,17,519,California
Sutter,2020-12-26,38,557,34,543,4,14,0,0,38,557,0,0,38,557,California
Sutter,2020-12-27,24,581,23,566,1,15,0,0,24,581,0,0,24,581,California
Sutter,2020-12-28,82,663,54,620,28,43,0,0,82,663,0,0,82,663,California
Sutter,2020-12-29,101,764,14,634,87,130,0,0,101,764,0,0,101,764,California
Sutter,2020-12-30,136,900,33,667,103,233,0,0,136,900,0,0,136,900,California
Sutter,2020-12-31,70,970,6,673,64,297,0,0,70,970,0,0,70,970,California
Sutter,2021-01-01,3,973,3,676,0,297,0,0,3,973,0,0,3,973,California
Sutter,2021-01-02,134,1107,133,809,1,298,0,0,134,1107,0,0,134,1107,California
Sutter,2021-01-03,1,1108,0,809,1,299,0,0,1,1108,0,0,1,1108,California
Sutter,2021-01-04,248,1356,140,949,108,407,0,0,248,1356,0,0,248,1356,California
Sutter,2021-01-05,99,1455,56,1005,43,450,0,0,97,1451,2,2,97,1453,California
Sutter,2021-01-06,206,1661,52,1057,154,604,0,0,201,1647,5,7,201,1654,California
Sutter,2021-01-07,249,1910,150,1207,99,703,0,0,240,1879,8,15,240,1894,California
Sutter,2021-01-08,145,2055,40,1247,105,808,0,0,128,1990,17,32,128,2022,California
Sutter,2021-01-09,44,2099,43,1290,1,809,0,0,3,1952,41,73,3,2025,California
Sutter,2021-01-10,402,2501,37,1327,365,1174,0,0,364,2279,37,110,364,2389,California
Sutter,2021-01-11,133,2634,115,1442,18,1192,0,0,26,2198,107,217,26,2415,California
Sutter,2021-01-12,201,2835,165,1607,36,1228,0,0,56,2109,145,362,56,2471,California
Sutter,2021-01-13,157,2992,95,1702,62,1290,0,0,70,2092,87,449,70,2541,California
Sutter,2021-01-14,145,3137,50,1752,95,1385,0,0,125,2197,20,469,125,2666,California
Sutter,2021-01-15,433,3570,131,1883,302,1687,0,0,418,2600,15,484,418,3084,California
Sutter,2021-01-16,390,3960,42,1925,348,2035,0,0,359,2929,30,514,359,3443,California
Sutter,2021-01-17,25,3985,23,1948,2,2037,0,0,9,2922,16,530,9,3452,California
Sutter,2021-01-18,116,4101,61,2009,55,2092,0,0,70,2946,46,576,70,3522,California
Sutter,2021-01-19,100,4201,40,2049,60,2152,0,0,76,2998,24,600,76,3598,California
Sutter,2021-01-20,255,4456,190,2239,65,2217,0,0,235,3213,20,620,235,3833,California
Sutter,2021-01-21,432,4888,263,2502,169,2386,0,0,413,3607,19,639,413,4246,California
Sutter,2021-01-22,265,5153,82,2584,183,2569,0,0,256,3854,9,648,256,4502,California
Sutter,2021-01-23,396,5549,40,2624,356,2925,0,0,370,4198,26,674,370,4872,California
Sutter,2021-01-24,17,5566,14,2638,3,2928,0,0,15,4211,2,676,15,4887,California
Sutter,2021-01-25,302,5868,196,2834,106,3034,0,0,149,4208,152,828,149,5036,California
Sutter,2021-01-26,237,6105,100,2934,137,3171,0,0,142,4256,94,922,142,5178,California
Sutter,2021-01-27,383,6488,252,3186,131,3302,0,0,318,4509,65,987,318,5496,California
Sutter,2021-01-28,522,7010,300,3486,222,3524,0,0,392,4771,130,1117,392,5888,California
Sutter,2021-01-29,397,7407,140,3626,257,3781,0,0,237,4848,160,1277,237,6125,California
Sutter,2021-01-30,780,8187,39,3665,741,4522,0,0,769,5606,11,1288,769,6894,California
Sutter,2021-01-31,27,8214,27,3692,0,4522,0,0,27,5633,0,1288,27,6921,California
Sutter,2021-02-01,161,8375,47,3739,114,4636,0,0,130,5732,31,1319,130,7051,California
Sutter,2021-02-02,240,8615,25,3764,215,4851,0,0,210,5912,30,1349,210,7261,California
Sutter,2021-02-03,443,9058,36,3800,407,5258,0,0,211,5891,232,1581,211,7472,California
Sutter,2021-02-04,666,9724,366,4166,300,5558,0,0,617,6459,49,1630,617,8089,California
Sutter,2021-02-05,279,10003,30,4196,249,5807,0,0,133,6446,146,1776,133,8222,California
Sutter,2021-02-06,730,10733,25,4221,705,6512,0,0,711,7138,19,1795,711,8933,California
Sutter,2021-02-07,22,10755,19,4240,3,6515,0,0,19,7154,3,1798,19,8952,California
Sutter,2021-02-08,131,10886,26,4266,105,6620,0,0,95,7213,36,1834,95,9047,California
Sutter,2021-02-09,247,11133,47,4313,200,6820,0,0,185,7336,62,1896,185,9232,California
Sutter,2021-02-10,650,11783,378,4691,272,7092,0,0,169,7025,480,2376,169,9401,California
Sutter,2021-02-11,592,12375,262,4953,330,7422,0,0,368,7169,224,2600,368,9769,California
Sutter,2021-02-12,616,12991,62,5015,554,7976,0,0,301,7155,315,2915,301,10070,California
Sutter,2021-02-13,899,13890,48,5063,851,8827,0,0,783,7822,116,3031,783,10853,California
Sutter,2021-02-14,87,13977,24,5087,63,8890,0,0,77,7889,10,3041,77,10930,California
Sutter,2021-02-15,190,14167,64,5151,126,9016,0,0,121,7941,69,3110,121,11051,California
Sutter,2021-02-16,280,14447,43,5194,237,9253,0,0,198,8058,81,3191,198,11249,California
Sutter,2021-02-17,824,15271,434,5628,390,9643,0,0,126,7486,698,3889,126,11375,California
Sutter,2021-02-18,700,15971,50,5678,650,10293,0,0,491,7769,208,4097,491,11866,California
Sutter,2021-02-19,658,16629,380,6058,278,10571,0,0,460,8033,196,4293,460,12326,California
Sutter,2021-02-20,580,17209,52,6110,528,11099,0,0,480,8413,100,4393,480,12806,California
Sutter,2021-02-21,26,17235,21,6131,5,11104,0,0,7,8401,19,4412,7,12813,California
Sutter,2021-02-22,197,17432,113,6244,84,11188,0,0,86,8376,111,4523,86,12899,California
Sutter,2021-02-23,217,17649,31,6275,186,11374,0,0,94,8347,123,4646,94,12993,California
Sutter,2021-02-24,952,18601,347,6622,605,11979,0,0,188,7773,762,5408,188,13181,California
Sutter,2021-02-25,764,19365,489,7111,275,12254,0,0,592,8196,169,5577,592,13773,California
Sutter,2021-02-26,349,19714,55,7166,294,12548,0,0,144,8137,203,5780,144,13917,California
Sutter,2021-02-27,802,20516,38,7204,764,13312,0,0,648,8631,154,5934,648,14565,California
Sutter,2021-02-28,75,20591,38,7242,37,13349,0,0,58,8672,17,5951,58,14623,California
Sutter,2021-03-01,233,20824,59,7301,174,13523,0,0,139,8717,94,6045,139,14762,California
Sutter,2021-03-02,312,21136,56,7357,256,13779,0,0,160,8725,152,6197,160,14922,California
Sutter,2021-03-03,1330,22466,506,7863,824,14603,0,0,614,8630,709,6906,614,15536,California
Sutter,2021-03-04,1213,23679,840,8703,373,14976,0,0,940,9304,268,7174,942,16478,California
Sutter,2021-03-05,304,23983,69,8772,234,15210,1,1,176,9353,128,7302,177,16655,California
Sutter,2021-03-06,593,24576,44,8816,545,15755,4,5,450,9664,143,7445,454,17109,California
Sutter,2021-03-07,62,24638,23,8839,38,15793,1,6,42,9687,20,7465,43,17152,California
Sutter,2021-03-08,175,24813,68,8907,95,15888,12,18,111,9747,63,7528,123,17275,California
Sutter,2021-03-09,363,25176,129,9036,222,16110,12,30,172,9741,190,7718,184,17459,California
Sutter,2021-03-10,1512,26688,654,9690,806,16916,52,82,476,9236,1033,8751,528,17987,California
Sutter,2021-03-11,834,27522,401,10091,418,17334,15,97,604,9627,228,8979,619,18606,California
Sutter,2021-03-12,471,27993,79,10170,326,17660,66,163,162,9548,308,9287,229,18835,California
Sutter,2021-03-13,828,28821,632,10802,180,17840,16,179,663,10063,164,9451,679,19514,California
Sutter,2021-03-14,82,28903,21,10823,51,17891,10,189,34,10059,48,9499,44,19558,California
Sutter,2021-03-15,299,29202,66,10889,186,18077,47,236,136,10080,162,9661,183,19741,California
Sutter,2021-03-16,319,29521,85,10974,188,18265,46,282,165,10138,153,9814,211,19952,California
Sutter,2021-03-17,1294,30815,519,11493,765,19030,10,292,247,9356,1039,10853,257,20209,California
Sutter,2021-03-18,457,31272,84,11577,297,19327,76,368,284,9544,172,11025,360,20569,California
Sutter,2021-03-19,129,31401,43,11620,80,19407,6,374,79,9580,49,11074,85,20654,California
Imperial,2020-12-16,1,1,1,1,0,0,0,0,1,1,0,0,1,1,California
Imperial,2020-12-17,4,5,4,5,0,0,0,0,4,5,0,0,4,5,California
Imperial,2020-12-18,11,16,11,16,0,0,0,0,11,16,0,0,11,16,California
Imperial,2020-12-20,2,18,2,18,0,0,0,0,2,18,0,0,2,18,California
Imperial,2020-12-21,186,204,186,204,0,0,0,0,186,204,0,0,186,204,California
Imperial,2020-12-22,241,445,239,443,2,2,0,0,241,445,0,0,241,445,California
Imperial,2020-12-23,212,657,211,654,1,3,0,0,211,656,0,0,211,656,California
Imperial,2020-12-24,5,662,5,659,0,3,0,0,5,661,0,0,5,661,California
Imperial,2020-12-26,1,663,0,659,1,4,0,0,1,662,0,0,1,662,California
Imperial,2020-12-27,62,725,0,659,62,66,0,0,62,724,0,0,62,724,California
Imperial,2020-12-28,214,939,114,773,100,166,0,0,214,938,0,0,214,938,California
Imperial,2020-12-29,188,1127,35,808,153,319,0,0,188,1126,0,0,188,1126,California
Imperial,2020-12-30,366,1493,49,857,317,636,0,0,366,1492,0,0,366,1492,California
Imperial,2020-12-31,199,1692,26,883,173,809,0,0,199,1691,0,0,199,1691,California
Imperial,2021-01-01,5,1697,5,888,0,809,0,0,5,1696,0,0,5,1696,California
Imperial,2021-01-02,4,1701,0,888,4,813,0,0,4,1700,0,0,4,1700,California
Imperial,2021-01-03,90,1791,0,888,90,903,0,0,90,1790,0,0,90,1790,California
Imperial,2021-01-04,84,1875,4,892,80,983,0,0,84,1874,0,0,84,1874,California
Imperial,2021-01-05,172,2047,13,905,159,1142,0,0,172,2046,0,0,172,2046,California
Imperial,2021-01-06,190,2237,25,930,165,1307,0,0,189,2234,1,1,189,2235,California
Imperial,2021-01-07,318,2555,9,939,309,1616,0,0,315,2546,3,4,315,2550,California
Imperial,2021-01-08,190,2745,50,989,140,1756,0,0,181,2718,9,13,181,2731,California
Imperial,2021-01-09,24,2769,21,1010,3,1759,0,0,24,2742,0,13,24,2755,California
Imperial,2021-01-10,1,2770,0,1010,1,1760,0,0,1,2743,0,13,1,2756,California
Imperial,2021-01-11,401,3171,243,1253,158,1918,0,0,172,2686,229,242,172,2928,California
Imperial,2021-01-12,404,3575,301,1554,103,2021,0,0,142,2567,261,503,142,3070,California
Imperial,2021-01-13,379,3954,131,1685,248,2269,0,0,280,2748,99,602,280,3350,California
Imperial,2021-01-14,261,4215,151,1836,110,2379,0,0,255,2998,5,607,255,3605,California
Imperial,2021-01-15,239,4454,181,2017,58,2437,0,0,232,3223,7,614,232,3837,California
Imperial,2021-01-16,77,4531,71,2088,6,2443,0,0,77,3300,0,614,77,3914,California
Imperial,2021-01-17,10,4541,2,2090,8,2451,0,0,10,3310,0,614,10,3924,California
Imperial,2021-01-18,1053,5594,402,2492,651,3102,0,0,955,4168,98,712,956,4880,California
Imperial,2021-01-19,168,5762,128,2620,40,3142,0,0,121,4242,47,759,121,5001,California
Imperial,2021-01-20,289,6051,193,2813,96,3238,0,0,252,4457,37,796,252,5253,California
Imperial,2021-01-21,416,6467,183,2996,233,3471,0,0,396,4833,20,816,396,5649,California
Imperial,2021-01-22,467,6934,189,3185,278,3749,0,0,458,5282,9,825,458,6107,California
Imperial,2021-01-23,1047,7981,290,3475,757,4506,0,0,1046,6327,1,826,1046,7153,California
Imperial,2021-01-24,11,7992,3,3478,8,4514,0,0,11,6338,0,826,11,7164,California
Imperial,2021-01-25,216,8208,6,3484,210,4724,0,0,37,6197,178,1004,37,7201,California
Imperial,2021-01-26,358,8566,182,3666,176,4900,0,0,216,6271,142,1146,216,7417,California
Imperial,2021-01-27,575,9141,163,3829,412,5312,0,0,241,6178,334,1480,241,7658,California
Imperial,2021-01-28,632,9773,158,3987,474,5786,0,0,524,6594,108,1588,524,8182,California
Imperial,2021-01-29,422,10195,295,4282,127,5913,0,0,373,6918,49,1637,373,8555,California
Imperial,2021-01-30,65,10260,27,4309,38,5951,0,0,48,6949,17,1654,48,8603,California
Imperial,2021-01-31,24,10284,6,4315,18,5969,0,0,23,6971,1,1655,23,8626,California
Imperial,2021-02-01,439,10723,57,4372,382,6351,0,0,229,6991,209,1864,229,8855,California
Imperial,2021-02-02,682,11405,53,4425,629,6980,0,0,501,7311,181,2045,501,9356,California
Imperial,2021-02-03,481,11886,49,4474,432,7412,0,0,289,7409,191,2236,289,9645,California
Imperial,2021-02-04,1754,13640,1207,5681,547,7959,0,0,1439,8535,314,2550,1440,11085,California
Imperial,2021-02-05,397,14037,240,5921,157,8116,0,0,163,8466,232,2782,163,11248,California
Imperial,2021-02-06,875,14912,838,6759,37,8153,0,0,838,9268,36,2818,838,12086,California
Imperial,2021-02-07,36,14948,11,6770,25,8178,0,0,35,9302,1,2819,35,12121,California
Imperial,2021-02-08,252,15200,42,6812,210,8388,0,0,184,9418,68,2887,184,12305,California
Imperial,2021-02-09,471,15671,145,6957,326,8714,0,0,314,9575,157,3044,314,12619,California
Imperial,2021-02-10,396,16067,53,7010,343,9057,0,0,108,9396,288,3332,109,12728,California
Imperial,2021-02-11,464,16531,262,7272,202,9259,0,0,94,9120,370,3702,94,12822,California
Imperial,2021-02-12,2113,18644,1401,8673,712,9971,0,0,1762,10533,350,4052,1763,14585,California
Imperial,2021-02-13,45,18689,20,8693,25,9996,0,0,38,10564,7,4059,38,14623,California
Imperial,2021-02-14,25,18714,12,8705,13,10009,0,0,22,10584,3,4062,23,14646,California
Imperial,2021-02-15,35,18749,11,8716,24,10033,0,0,26,10601,9,4071,26,14672,California
Imperial,2021-02-16,514,19263,269,8985,245,10278,0,0,295,10677,219,4290,295,14967,California
Imperial,2021-02-17,440,19703,289,9274,151,10429,0,0,86,10409,354,4644,86,15053,California
Imperial,2021-02-18,643,20346,315,9589,328,10757,0,0,149,10065,493,5137,149,15202,California
Imperial,2021-02-19,770,21116,383,9972,387,11144,0,0,197,9690,572,5709,197,15399,California
Imperial,2021-02-20,1037,22153,192,10164,845,11989,0,0,323,9300,713,6422,323,15722,California
Imperial,2021-02-21,550,22703,516,10680,34,12023,0,0,542,9834,8,6430,542,16264,California
Imperial,2021-02-22,809,23512,569,11249,240,12263,0,0,755,10535,54,6484,755,17019,California
Imperial,2021-02-23,890,24402,385,11634,505,12768,0,0,839,11324,51,6535,840,17859,California
Imperial,2021-02-24,687,25089,299,11933,388,13156,0,0,584,11807,102,6637,585,18444,California
Imperial,2021-02-25,808,25897,347,12280,461,13617,0,0,439,11881,368,7005,442,18886,California
Imperial,2021-02-26,1642,27539,1339,13619,303,13920,0,0,1485,13213,154,7159,1486,20372,California
Imperial,2021-02-27,932,28471,883,14502,49,13969,0,0,199,12679,733,7892,199,20571,California
Imperial,2021-02-28,83,28554,75,14577,8,13977,0,0,71,12738,12,7904,71,20642,California
Imperial,2021-03-01,510,29064,308,14885,202,14179,0,0,452,13135,57,7961,454,21096,California
Imperial,2021-03-02,681,29745,262,15147,419,14598,0,0,397,13251,284,8245,400,21496,California
Imperial,2021-03-03,849,30594,54,15201,795,15393,0,0,475,13362,371,8616,482,21978,California
Imperial,2021-03-04,682,31276,94,15295,588,15981,0,0,420,13546,260,8876,444,22422,California
Imperial,2021-03-05,2539,33815,1933,17228,606,16587,0,0,1251,13512,1285,10161,1251,23673,California
Imperial,2021-03-06,682,34497,236,17464,446,17033,0,0,638,14113,41,10202,642,24315,California
Imperial,2021-03-07,84,34581,48,17512,35,17068,1,1,58,14152,26,10228,65,24380,California
Imperial,2021-03-08,360,34941,310,17822,23,17091,27,28,315,14450,45,10273,343,24723,California
Imperial,2021-03-09,689,35630,317,18139,137,17228,235,263,406,14811,283,10556,644,25367,California
Imperial,2021-03-10,663,36293,309,18448,252,17480,102,365,296,14846,367,10923,402,25769,California
Imperial,2021-03-11,1699,37992,444,18892,1065,18545,190,555,1090,15537,609,11532,1300,27069,California
Imperial,2021-03-12,3482,41474,2390,21282,909,19454,183,738,1911,16063,1570,13102,2096,29165,California
Imperial,2021-03-13,970,42444,89,21371,663,20117,218,956,684,16683,284,13386,904,30069,California
Imperial,2021-03-14,138,42582,32,21403,95,20212,11,967,98,16753,40,13426,110,30179,California
Imperial,2021-03-15,677,43259,225,21628,197,20409,255,1222,374,17080,302,13728,629,30808,California
Imperial,2021-03-16,1056,44315,287,21915,339,20748,430,1652,527,17509,528,14256,957,31765,California
Imperial,2021-03-17,1321,45636,569,22484,630,21378,122,1774,806,17930,513,14769,934,32699,California
Imperial,2021-03-18,749,46385,563,23047,140,21518,46,1820,447,18123,302,15071,495,33194,California
Imperial,2021-03-19,800,47185,528,23575,269,21787,3,1823,567,18470,231,15302,578,33772,California
San Joaquin,2020-12-15,12,12,12,12,0,0,0,0,12,12,0,0,12,12,California
San Joaquin,2020-12-16,435,447,435,447,0,0,0,0,435,447,0,0,435,447,California
San Joaquin,2020-12-17,384,831,384,831,0,0,0,0,384,831,0,0,384,831,California
San Joaquin,2020-12-18,572,1403,547,1378,25,25,0,0,572,1403,0,0,572,1403,California
San Joaquin,2020-12-19,199,1602,199,1577,0,25,0,0,199,1602,0,0,199,1602,California
San Joaquin,2020-12-20,111,1713,111,1688,0,25,0,0,111,1713,0,0,111,1713,California
San Joaquin,2020-12-21,560,2273,555,2243,5,30,0,0,560,2273,0,0,560,2273,California
San Joaquin,2020-12-22,1047,3320,888,3131,159,189,0,0,1046,3319,0,0,1046,3319,California
San Joaquin,2020-12-23,1017,4337,950,4081,67,256,0,0,1017,4336,0,0,1017,4336,California
San Joaquin,2020-12-24,219,4556,192,4273,27,283,0,0,219,4555,0,0,219,4555,California
San Joaquin,2020-12-25,14,4570,14,4287,0,283,0,0,14,4569,0,0,14,4569,California
San Joaquin,2020-12-26,100,4670,28,4315,72,355,0,0,100,4669,0,0,100,4669,California
San Joaquin,2020-12-27,40,4710,29,4344,11,366,0,0,40,4709,0,0,40,4709,California
San Joaquin,2020-12-28,640,5350,440,4784,200,566,0,0,640,5349,0,0,640,5349,California
San Joaquin,2020-12-29,871,6221,737,5521,134,700,0,0,871,6220,0,0,871,6220,California
